close,time,rsi,so,wr,emacd
1.89343,5/14/2021 2:20,45.67,49.31,-50.69,-0.005933747
1.89498,5/14/2021 2:25,45.58,51.92,-48.08,-0.004965882
1.90196,5/14/2021 2:30,42.66,63.68,-36.32,-0.004847528
1.89594,5/14/2021 2:35,46.67,53.54,-46.46,-0.004093684
1.89168,5/14/2021 2:40,44.83,46.36,-53.64,-0.004442033
1.88641,5/14/2021 2:45,42.58,37.48,-62.52,-0.005204487
1.87767,5/14/2021 2:50,42.97,22.76,-77.24,-0.005177962
1.87395,5/14/2021 2:55,44.48,1.67,-98.33,-0.003503271
1.87163,5/14/2021 3:00,49.03,0.29,-99.71,-0.002381346
1.87533,5/14/2021 3:05,42.23,7.4,-92.6,-0.000943297
1.88327,5/14/2021 3:10,41.26,22.66,-77.34,0.000331929
1.87683,5/14/2021 3:15,45.04,11.61,-88.39,0.003099575
1.87762,5/14/2021 3:20,42,13.1,-86.9,0.003750674
1.88556,5/14/2021 3:25,34.4,29.45,-70.55,0.003886462
1.86762,5/14/2021 3:30,37.1,0,-100,0.004770104
1.87426,5/14/2021 3:35,39.79,17.4,-82.6,0.004616967
1.87247,5/14/2021 3:40,41.57,13.8,-86.2,0.004310237
1.87174,5/14/2021 3:45,37.74,28.04,-71.96,0.003700683
1.86471,5/14/2021 3:50,38.55,10.01,-89.99,0.003104373
1.86211,5/14/2021 3:55,40.89,22.34,-77.66,0.002600868
1.86986,5/14/2021 4:00,47.42,43.1,-56.9,0.001779839
1.87355,5/14/2021 4:05,45.55,52.99,-47.01,0.000689914
1.87759,5/14/2021 4:10,43.93,63.81,-36.19,0.00031812
