opentime,open,high,low,close,volume,closetime,qav,trades,tbbav,tbqav,ignore
2020-03-01 14:15:00,8598.55000000,8598.55000000,8598.55000000,8598.55000000,0.00750200,2020-03-01 14:19:59.999000,64.50632210,1,0.00750200,64.50632210,0
2020-03-01 14:20:00,8597.07000000,8597.07000000,8597.07000000,8597.07000000,0.03489400,2020-03-01 14:24:59.999000,299.98616058,1,0.03489400,299.98616058,0
2020-03-01 14:25:00,8597.07000000,8597.07000000,8597.07000000,8597.07000000,0.00000000,2020-03-01 14:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 14:30:00,8597.07000000,8597.07000000,8597.07000000,8597.07000000,0.00000000,2020-03-01 14:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 14:35:00,8593.39000000,8593.39000000,8590.17000000,8593.15000000,0.61163800,2020-03-01 14:39:59.999000,5254.99789532,5,0.03490900,299.97827335,0
2020-03-01 14:40:00,8586.88000000,8586.88000000,8579.38000000,8586.15000000,0.39789100,2020-03-01 14:44:59.999000,3415.42035381,8,0.10077900,864.98958192,0
2020-03-01 14:45:00,8586.15000000,8586.15000000,8586.15000000,8586.15000000,0.00000000,2020-03-01 14:49:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 14:50:00,8559.53000000,8559.53000000,8557.94000000,8557.94000000,0.04805900,2020-03-01 14:54:59.999000,411.29052862,2,0.00000000,0.00000000,0
2020-03-01 14:55:00,8555.56000000,8569.52000000,8555.56000000,8568.05000000,0.11367000,2020-03-01 14:59:59.999000,972.79043159,7,0.02106500,180.49093699,0
2020-03-01 15:00:00,8559.87000000,8559.87000000,8551.11000000,8553.00000000,0.17378100,2020-03-01 15:04:59.999000,1487.52069891,3,0.00000000,0.00000000,0
2020-03-01 15:05:00,8560.95000000,8567.13000000,8560.95000000,8567.13000000,0.01565600,2020-03-01 15:09:59.999000,134.08073616,3,0.00748400,64.07014980,0
2020-03-01 15:10:00,8567.13000000,8567.13000000,8567.13000000,8567.13000000,0.00000000,2020-03-01 15:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 15:15:00,8567.13000000,8567.13000000,8567.13000000,8567.13000000,0.00000000,2020-03-01 15:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 15:20:00,8585.64000000,8585.64000000,8585.64000000,8585.64000000,0.01289000,2020-03-01 15:24:59.999000,110.66889960,1,0.00000000,0.00000000,0
2020-03-01 15:25:00,8592.25000000,8592.25000000,8592.25000000,8592.25000000,0.93953300,2020-03-01 15:29:59.999000,8072.70241925,1,0.93953300,8072.70241925,0
2020-03-01 15:30:00,8591.58000000,8598.27000000,8585.79000000,8585.79000000,0.10875900,2020-03-01 15:34:59.999000,934.45713027,5,0.02693900,231.62526553,0
2020-03-01 15:35:00,8586.79000000,8586.79000000,8576.63000000,8581.53000000,0.20811000,2020-03-01 15:39:59.999000,1786.01913312,17,0.00815400,69.97379562,0
2020-03-01 15:40:00,8581.53000000,8581.53000000,8581.53000000,8581.53000000,0.00000000,2020-03-01 15:44:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 15:45:00,8591.35000000,8591.35000000,8566.53000000,8567.12000000,0.61844900,2020-03-01 15:49:59.999000,5305.21498731,6,0.11844900,1015.22498731,0
2020-03-01 15:50:00,8563.67000000,8564.86000000,8562.44000000,8564.86000000,0.03015600,2020-03-01 15:54:59.999000,258.23778544,5,0.02733200,234.05398136,0
2020-03-01 15:55:00,8564.33000000,8564.33000000,8551.48000000,8554.77000000,0.00423600,2020-03-01 15:59:59.999000,36.24685896,3,0.00000000,0.00000000,0
2020-03-01 16:00:00,8560.23000000,8560.23000000,8560.23000000,8560.23000000,0.00582200,2020-03-01 16:04:59.999000,49.83765906,1,0.00000000,0.00000000,0
2020-03-01 16:05:00,8561.37000000,8561.37000000,8555.60000000,8555.60000000,0.64077700,2020-03-01 16:09:59.999000,5482.87344039,3,0.50515800,4321.92978480,0
2020-03-01 16:10:00,8555.60000000,8555.60000000,8555.60000000,8555.60000000,0.00000000,2020-03-01 16:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 16:15:00,8555.60000000,8555.60000000,8555.60000000,8555.60000000,0.00000000,2020-03-01 16:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 16:20:00,8555.60000000,8555.60000000,8555.60000000,8555.60000000,0.00000000,2020-03-01 16:24:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 16:25:00,8555.60000000,8555.60000000,8555.60000000,8555.60000000,0.00000000,2020-03-01 16:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 16:30:00,8551.65000000,8551.65000000,8490.00000000,8490.00000000,3.53156800,2020-03-01 16:34:59.999000,30022.18406377,27,0.30080700,2559.21051155,0
2020-03-01 16:35:00,8469.62000000,8498.61000000,8460.79000000,8492.69000000,0.73748000,2020-03-01 16:39:59.999000,6257.79558692,21,0.16132200,1367.22733596,0
2020-03-01 16:40:00,8488.27000000,8498.33000000,8478.04000000,8498.33000000,0.05839500,2020-03-01 16:44:59.999000,495.90582977,4,0.02559300,217.49775969,0
2020-03-01 16:45:00,8473.00000000,8473.00000000,8458.50000000,8458.50000000,0.01151700,2020-03-01 16:49:59.999000,97.54707386,5,0.00454500,38.47836186,0
2020-03-01 16:50:00,8478.80000000,8482.13000000,8478.80000000,8482.13000000,0.01544200,2020-03-01 16:54:59.999000,130.93940648,5,0.01544200,130.93940648,0
2020-03-01 16:55:00,8493.16000000,8500.80000000,8493.16000000,8500.80000000,0.08850600,2020-03-01 16:59:59.999000,751.75996289,3,0.07707100,654.58819164,0
2020-03-01 17:00:00,8525.21000000,8525.21000000,8499.88000000,8499.88000000,2.24354300,2020-03-01 17:04:59.999000,19110.88519751,13,1.40437200,11971.53170526,0
2020-03-01 17:05:00,8489.47000000,8515.95000000,8489.47000000,8509.96000000,0.68644200,2020-03-01 17:09:59.999000,5834.86909922,6,0.68644200,5834.86909922,0
2020-03-01 17:10:00,8505.72000000,8511.88000000,8505.72000000,8511.88000000,0.54780500,2020-03-01 17:14:59.999000,4662.78772692,5,0.53762700,4576.21650876,0
2020-03-01 17:15:00,8502.67000000,8502.67000000,8502.67000000,8502.67000000,0.00195000,2020-03-01 17:19:59.999000,16.58020650,1,0.00000000,0.00000000,0
2020-03-01 17:20:00,8502.67000000,8502.67000000,8502.67000000,8502.67000000,0.00000000,2020-03-01 17:24:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 17:25:00,8502.67000000,8502.67000000,8502.67000000,8502.67000000,0.00000000,2020-03-01 17:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
